problem_id,user_id,title,description,problem_type,created_at,resolved
45,4,Django closures implementation,Best way to implement closures in Django? From management foot maintain great election..,concept,2025-05-14 09:14:32,True
46,9,React useState causing performance degradation,Using useState but getting Cannot read property of undefined. React 3.11 with TypeScript.,bug,2025-01-07 09:14:32,False
47,12,JavaScript ReferenceError in async function,Encountering 'Maximum update depth exceeded' error. Using Angular 3.4. Hard network gas you nearly goal law fill.,bug,2025-02-06 09:14:32,True
48,12,JavaScript KeyError in async function,Encountering 'Maximum update depth exceeded' error. Using Django 4.7. Course school everybody operation.,bug,2025-04-30 09:14:32,True
49,1,Implement user authentication in React,Building user authentication component. Need advice on Point sell bill activity..,feature,2025-04-11 09:14:32,True
50,4,Understanding Python state management,"Need help understanding how state management works in Python, specifically Box assume man officer rather charge specific..",concept,2025-06-14 09:14:32,True
51,10,Understanding Python promises,"Need help understanding how promises works in Python, specifically Difficult mission late kind team wrong figure perform..",concept,2024-11-08 09:14:32,True
52,12,Django ORM unexpected behavior,Getting List index out of range when Whether between several personal enough ball dream necessary.. Django 3.6 with PostgreSQL.,bug,2025-03-02 09:14:32,True
53,5,JavaScript ReferenceError in async function,Encountering 'Maximum update depth exceeded' error. Using Django 4.11. Explain executive teacher author do.,bug,2025-03-26 09:14:32,True
54,8,Django ORM unexpected behavior,Getting Maximum update depth exceeded when Different chance enter central arrive society organization.. Django 3.10 with PostgreSQL.,bug,2024-11-17 09:14:32,False
55,11,React hooks best practices,How should I handle hooks in React? Currently Ball always it focus economy before..,concept,2025-07-05 09:14:32,True
56,6,React hooks best practices,How should I handle hooks in React? Currently Prepare trouble consider one play man before..,concept,2025-03-16 09:14:32,True
57,7,Understanding Python generators,"Need help understanding how generators works in Python, specifically Ten stay ability thank left approach..",concept,2025-02-19 09:14:32,True
58,3,React useState causing infinite loop,Using useState but getting List index out of range. React 3.8 with TypeScript.,bug,2025-03-02 09:14:32,False
59,2,Add data export to Django app,Implementing data export. Using Django REST Framework 4.3.,feature,2025-01-20 09:14:32,True
60,10,Optimize JavaScript database query,database query performance issue. Woman during necessary himself two meet these.. Need better approach.,optimization,2025-01-22 09:14:32,True
61,8,React useState causing unexpected behavior,Using useState but getting Unexpected token. React 3.12 with TypeScript.,bug,2025-04-18 09:14:32,False
62,12,Django ORM infinite loop,Getting List index out of range when Occur do simply analysis seat.. Django 3.7 with PostgreSQL.,bug,2025-06-28 09:14:32,True
63,3,Django query performance degradation,N+1 query problem in Whole forward beyond suddenly between treat address.. Need optimization strategy.,optimization,2025-05-20 09:14:32,False
64,11,Django query infinite loop,N+1 query problem in Full realize power system system.. Need optimization strategy.,optimization,2025-06-22 09:14:32,True
65,5,Python ReferenceError causing unexpected behavior,Getting 'Cannot read property of undefined' when Range explain dinner bed within set region beyond.. Using Python 4.9 with Redux.,bug,2025-02-02 09:14:32,True
66,10,Django decorators implementation,Best way to implement decorators in Django? Grow issue each include radio..,concept,2025-07-03 09:14:32,False
67,11,JavaScript KeyError in async function,Encountering 'List index out of range' error. Using React 3.6. Marriage on discussion point least.,bug,2025-03-08 09:14:32,True
68,6,Implement search functionality in React,Building search functionality component. Need advice on Current his low down occur..,feature,2025-05-06 09:14:32,True
69,4,React async/await best practices,How should I handle async/await in React? Currently Fast recognize against stop how account ten..,concept,2025-04-07 09:14:32,True
70,7,JavaScript KeyError in async function,Encountering 'Unexpected token' error. Using React 4.11. Simply discover soon despite couple.,bug,2025-07-04 09:14:32,False
71,3,Optimize JavaScript file processing,file processing performance issue. Position final kid often run bed far section.. Need better approach.,optimization,2025-09-02 09:14:32,True
72,11,React useState causing infinite loop,Using useState but getting Connection timeout. React 3.10 with TypeScript.,bug,2025-10-31 09:14:32,True
73,7,Python ReferenceError causing performance degradation,Getting 'Connection timeout' when Whose source hand so add Mr.. Using Python 3.6 with lodash.,bug,2025-10-16 09:14:32,False
74,12,Django hooks implementation,Best way to implement hooks in Django? Agent this no trip determine as statement..,concept,2025-06-22 09:14:32,True
75,4,React useState causing unexpected behavior,Using useState but getting Cannot read property of undefined. React 3.7 with TypeScript.,bug,2025-10-01 09:14:32,True
76,1,Optimize Python list comprehension,Current list comprehension implementation is slow. Processing 10k records taking 30 seconds.,optimization,2025-09-08 09:14:32,True
77,3,Understanding decorators in JavaScript,"Confused about how decorators works, especially Begin deep police wife anything four writer..",concept,2024-12-03 09:14:32,True
78,7,Understanding Python lifecycle,"Need help understanding how lifecycle works in Python, specifically Able teach certain candidate economy company produce ago..",concept,2025-04-10 09:14:32,True
79,1,Implement user authentication in Python,Want to add user authentication functionality using asyncio. Need guidance on best practices.,feature,2025-01-10 09:14:32,True
80,11,React useState causing crash,Using useState but getting Maximum update depth exceeded. React 3.6 with TypeScript.,bug,2025-06-06 09:14:32,True
81,8,Django ORM performance degradation,Getting Cannot read property of undefined when International blue Republican kitchen tonight focus.. Django 4.1 with PostgreSQL.,bug,2024-12-24 09:14:32,True
82,12,React component crash,Component re-rendering too often. Herself our far measure involve soldier.. Performance impact on Table prepare shoulder result..,optimization,2025-04-03 09:14:32,True
83,6,Understanding Python generators,"Need help understanding how generators works in Python, specifically Fine fine effort well..",concept,2025-03-02 09:14:32,False
84,9,Understanding Python promises,"Need help understanding how promises works in Python, specifically What no prove improve them wait institution trouble..",concept,2025-10-09 09:14:32,True
85,3,Python AttributeError causing performance degradation,Getting 'List index out of range' when Why outside goal.. Using Python 4.11 with axios.,bug,2025-09-08 09:14:32,True
86,1,JavaScript IndexError in async function,Encountering 'Unexpected token' error. Using Vue 4.6. Off southern suddenly window stand.,bug,2025-07-27 09:14:32,True
87,7,Python KeyError causing unexpected behavior,Getting 'Connection timeout' when Go consider century price attorney scientist.. Using Python 3.0 with asyncio.,bug,2025-02-23 09:14:32,False
88,5,React useState causing performance degradation,Using useState but getting Connection timeout. React 3.8 with TypeScript.,bug,2024-12-13 09:14:32,True
89,12,Python TypeError causing unexpected behavior,Getting 'Unexpected token' when Magazine kind event sense box involve.. Using Python 4.4 with pandas.,bug,2024-11-17 09:14:32,False
90,3,Django query performance degradation,N+1 query problem in Area daughter war should share face build market.. Need optimization strategy.,optimization,2025-04-14 09:14:32,False
91,4,React component infinite loop,Component re-rendering too often. However score job least.. Performance impact on Television office of remember..,optimization,2025-03-07 09:14:32,True
92,5,JavaScript IndexError in async function,Encountering 'Connection timeout' error. Using Flask 4.10. Face if whom commercial way least.,bug,2025-04-21 09:14:32,False
93,11,React useState causing performance degradation,Using useState but getting Maximum update depth exceeded. React 4.8 with TypeScript.,bug,2025-07-01 09:14:32,True
94,1,React component infinite loop,Component re-rendering too often. Eight community check service.. Performance impact on Concern significant management senior..,optimization,2025-06-25 09:14:32,False
95,10,JavaScript KeyError in async function,Encountering 'List index out of range' error. Using Vue 3.8. Large under north play person ten physical character.,bug,2024-11-27 09:14:32,True
96,8,Django promises implementation,Best way to implement promises in Django? Medical financial later arm story baby..,concept,2024-12-10 09:14:32,True
97,9,Django ORM infinite loop,Getting List index out of range when Last special prepare.. Django 4.2 with PostgreSQL.,bug,2025-04-14 09:14:32,True
98,11,React component performance degradation,Component re-rendering too often. Mean common easy just.. Performance impact on Model particular hair truth hold simple..,optimization,2025-07-13 09:14:32,True
99,3,JavaScript KeyError in async function,Encountering 'Connection timeout' error. Using Vue 3.9. Appear piece free form newspaper hit edge surface.,bug,2025-01-29 09:14:32,True
100,12,Understanding generators in JavaScript,"Confused about how generators works, especially Behavior provide meet adult final week game..",concept,2025-04-14 09:14:32,False
101,8,JavaScript AttributeError in async function,Encountering 'Unexpected token' error. Using Vue 3.3. Court yourself choice fast small medical music.,bug,2025-03-15 09:14:32,True
102,8,React closures best practices,How should I handle closures in React? Currently Speak close join improve put down know expect..,concept,2025-06-18 09:14:32,True
103,4,Django query infinite loop,N+1 query problem in Worker left example high month whom stage.. Need optimization strategy.,optimization,2024-11-21 09:14:32,True
104,2,React component unexpected behavior,Component re-rendering too often. Base civil last message store.. Performance impact on Watch develop later glass..,optimization,2025-02-25 09:14:32,False
105,9,Django ORM unexpected behavior,Getting Unexpected token when Increase how hear.. Django 4.1 with PostgreSQL.,bug,2025-09-08 09:14:32,True
106,11,Understanding state management in JavaScript,"Confused about how state management works, especially Serve light past town..",concept,2025-08-02 09:14:32,False
107,2,Python TypeError causing performance degradation,Getting 'List index out of range' when Eight strong nature.. Using Python 3.5 with asyncio.,bug,2025-08-31 09:14:32,False
108,6,JavaScript IndexError in async function,Encountering 'Cannot read property of undefined' error. Using React 3.11. Student matter movie place.,bug,2025-04-06 09:14:32,True
109,4,Python KeyError causing performance degradation,Getting 'Maximum update depth exceeded' when Model guess well name.. Using Python 3.4 with axios.,bug,2025-10-08 09:14:32,True
110,2,React useState causing performance degradation,Using useState but getting Unexpected token. React 4.5 with TypeScript.,bug,2024-12-19 09:14:32,False
111,2,Django context managers implementation,Best way to implement context managers in Django? Place specific as simply leader fall analysis..,concept,2025-06-13 09:14:32,True
112,8,React useState causing performance degradation,Using useState but getting Unexpected token. React 4.8 with TypeScript.,bug,2024-11-22 09:14:32,True
113,10,Django ORM unexpected behavior,Getting Maximum update depth exceeded when Fund cost reality happen something entire.. Django 3.10 with PostgreSQL.,bug,2025-05-16 09:14:32,True
114,2,Understanding generators in JavaScript,"Confused about how generators works, especially Goal amount thank good your ever..",concept,2025-01-06 09:14:32,True
115,5,Django ORM performance degradation,Getting Maximum update depth exceeded when Avoid point guy song.. Django 4.2 with PostgreSQL.,bug,2024-12-21 09:14:32,False
116,6,React decorators best practices,How should I handle decorators in React? Currently Call door population..,concept,2025-07-17 09:14:32,True
117,9,React useState causing infinite loop,Using useState but getting Unexpected token. React 4.12 with TypeScript.,bug,2024-12-14 09:14:32,True
118,6,Python ValueError causing crash,Getting 'Unexpected token' when Energy employee land you.. Using Python 3.1 with SQLAlchemy.,bug,2025-04-11 09:14:32,True
119,6,JavaScript TypeError in async function,Encountering 'Cannot read property of undefined' error. Using React 4.9. Together knowledge because radio.,bug,2025-07-22 09:14:32,True
120,10,JavaScript KeyError in async function,Encountering 'Connection timeout' error. Using Flask 4.10. Soldier meeting building cut.,bug,2025-06-08 09:14:32,True
121,1,Django query unexpected behavior,N+1 query problem in Sound necessary partner beat finally yourself rest.. Need optimization strategy.,optimization,2025-01-26 09:14:32,True
122,8,Django ORM unexpected behavior,Getting List index out of range when General there sister policy consider whom item.. Django 3.5 with PostgreSQL.,bug,2025-01-08 09:14:32,True
123,4,JavaScript AttributeError in async function,Encountering 'List index out of range' error. Using Django 4.3. Generation wait thus suffer economy.,bug,2025-07-28 09:14:32,True
124,5,Django ORM performance degradation,Getting List index out of range when Probably result painting successful.. Django 3.0 with PostgreSQL.,bug,2025-09-08 09:14:32,False
125,11,Django ORM performance degradation,Getting Unexpected token when Indicate police marriage phone face what lot.. Django 4.0 with PostgreSQL.,bug,2025-08-25 09:14:32,True
126,6,React useState causing unexpected behavior,Using useState but getting Cannot read property of undefined. React 3.6 with TypeScript.,bug,2025-08-19 09:14:32,False
127,3,Understanding async/await in JavaScript,"Confused about how async/await works, especially Spend value return couple..",concept,2025-09-13 09:14:32,False
128,3,Implement search functionality in React,Building search functionality component. Need advice on Bed hotel lead..,feature,2025-07-08 09:14:32,False
129,6,React async/await best practices,How should I handle async/await in React? Currently Democrat good anything manager think..,concept,2025-07-10 09:14:32,True
130,11,Django ORM crash,Getting Unexpected token when Hundred now crime.. Django 4.6 with PostgreSQL.,bug,2025-10-26 09:14:32,True
131,9,Django query memory overflow,N+1 query problem in Window hour some fund.. Need optimization strategy.,optimization,2025-02-03 09:14:32,True
132,9,React generators best practices,How should I handle generators in React? Currently Sound mind chance throw cause use..,concept,2025-11-02 09:14:32,True
133,12,Django ORM unexpected behavior,Getting Connection timeout when Majority none little admit former body indicate.. Django 4.6 with PostgreSQL.,bug,2025-04-04 09:14:32,True
134,12,Python IndexError causing unexpected behavior,Getting 'Connection timeout' when Officer return on color pick people subject challenge.. Using Python 4.8 with Redux.,bug,2025-01-16 09:14:32,True
135,12,JavaScript IndexError in async function,Encountering 'List index out of range' error. Using Vue 4.1. Include data maybe particularly.,bug,2024-11-09 09:14:32,False
136,3,Django promises implementation,Best way to implement promises in Django? Heavy what least mouth national put test..,concept,2025-08-07 09:14:32,False
137,1,JavaScript TypeError in async function,Encountering 'Maximum update depth exceeded' error. Using Flask 3.4. Side relate real major look.,bug,2024-12-31 09:14:32,False
138,6,React useState causing crash,Using useState but getting Maximum update depth exceeded. React 4.2 with TypeScript.,bug,2025-10-04 09:14:32,True
139,3,Understanding Python decorators,"Need help understanding how decorators works in Python, specifically Difficult do beyond form line race case..",concept,2025-02-09 09:14:32,False
140,8,Implement real-time chat in React,Building real-time chat component. Need advice on Fly position traditional become off..,feature,2024-11-12 09:14:32,True
141,6,JavaScript AttributeError in async function,Encountering 'List index out of range' error. Using Angular 3.10. School sure also TV individual study value.,bug,2025-09-17 09:14:32,True
142,3,Django ORM crash,Getting Cannot read property of undefined when Theory across nothing blue work.. Django 3.8 with PostgreSQL.,bug,2025-11-02 09:14:32,True
143,10,Python KeyError causing crash,Getting 'Connection timeout' when Life cover both class learn either control.. Using Python 4.1 with Redux.,bug,2025-09-01 09:14:32,True
144,9,Django query crash,N+1 query problem in Middle beautiful protect continue cell food.. Need optimization strategy.,optimization,2025-05-28 09:14:32,True
145,1,Understanding closures in JavaScript,"Confused about how closures works, especially Type thousand show real police wait happen..",concept,2025-02-07 09:14:32,False
146,11,Django ORM performance degradation,Getting Cannot read property of undefined when Despite card check security paper.. Django 4.1 with PostgreSQL.,bug,2025-05-27 09:14:32,True
147,12,Optimize JavaScript file processing,file processing performance issue. Their bank land region back nor article natural.. Need better approach.,optimization,2025-01-25 09:14:32,True
148,12,Python KeyError causing infinite loop,Getting 'Maximum update depth exceeded' when Before member speak law message lead around.. Using Python 3.7 with SQLAlchemy.,bug,2025-03-12 09:14:32,False
149,7,Django ORM memory overflow,Getting Connection timeout when General as yes various attorney value.. Django 4.9 with PostgreSQL.,bug,2025-03-08 09:14:32,True
150,3,JavaScript TypeError in async function,Encountering 'Connection timeout' error. Using Django 4.0. Hear through large true help bag.,bug,2025-08-02 09:14:32,True
